Grandeza,Condicao,0,1,2,3,4
ER,disart,0.05867012860315718,0.05408462550334673,0.05728591536128798,0.058230654854495925,0.052027453631608996
ER,malleusfix,0.017214208834013818,0.011352344272753175,0.016799582105804255,0.019710460814653608,0.015577588900908441
ER,normal,0.08696467456842215,0.06595994125533991,0.08642499813760969,0.07922276065276548,0.0813056189137247
ER,stapesfix,0.08570326850780197,0.10531514193004395,0.08440085183969788,0.10392171972684572,0.07468162770379465
ER,All,0.06213807012834878,0.05917801324037093,0.06122783686109995,0.06527139901219019,0.055898072287509204
Hfp,malleusfix,0.09167390833597162,0.10123924077828611,0.09318821168709493,0.10368221206476154,0.08473033851243715
Hfp,normal,0.14861112560121228,0.14513943185092912,0.144491124797723,0.13285705385780042,0.16030283801521522
Hfp,stapesfix,0.0582912532493698,0.03745353376406687,0.0608409704397011,0.05497537872111839,0.056971503573184534
Hfp,All,0.09952542906218458,0.09461073546442737,0.09950676897483968,0.09717154821456013,0.10066822670027897
Humbo,disart,0.02418652485913685,0.021216844722748412,0.02323060465786532,0.01669515171298135,0.018886607021168737
Humbo,malleusfix,0.013443145322282342,0.012927376721354395,0.013320528716774043,0.01869266900886367,0.014274990053582197
Humbo,normal,0.0580661343272529,0.07021047035647564,0.05948146913081958,0.067781060988874,0.06362329826439865
Humbo,stapesfix,0.07053343140104792,0.07135370698232026,0.07324761729055802,0.07150645842487476,0.07415165198198062
Humbo,All,0.04155730897743,0.04392709969572467,0.042320054949004246,0.04366883503389844,0.04273413683028255
Zme,disart,0.44635143247738907,0.40073611297901107,0.4266658521981216,0.4246352126218204,0.4231212784757813
Zme,malleusfix,0.13686726375069797,0.14663061029350985,0.13778291605688503,0.13315399549155738,0.13090011786684197
Zme,normal,0.5978436004103866,0.5798769804184736,0.5799946066321583,0.6006752872945231,0.6041307885597703
Zme,stapesfix,0.50157082688452,0.5364966138874114,0.5426860280037406,0.5529159708562555,0.521267455795979
Zme,All,0.4206582808807484,0.41593507939460145,0.4217823507227263,0.4278451165660391,0.4198549101745932
