Grandeza,Condicao,0,1,2,3,4
ER,disart,0.983,0.985,0.983,0.984,0.982
ER,malleusfix,0.998,0.999,0.998,0.997,0.995
ER,normal,0.976,0.983,0.978,0.982,0.978
ER,stapesfix,0.977,0.974,0.975,0.973,0.981
ER,All,0.9834999999999999,0.98525,0.9834999999999999,0.984,0.984
Hfp,malleusfix,0.968,0.963,0.97,0.973,0.971
Hfp,normal,0.943,0.952,0.95,0.959,0.948
Hfp,stapesfix,0.98,0.991,0.979,0.983,0.978
Hfp,All,0.9636666666666667,0.9686666666666667,0.9663333333333334,0.9716666666666667,0.9656666666666668
Humbo,disart,0.994,0.995,0.994,0.997,0.996
Humbo,malleusfix,1.0,0.999,0.998,0.998,0.998
Humbo,normal,0.988,0.984,0.988,0.983,0.988
Humbo,stapesfix,0.979,0.983,0.983,0.985,0.978
Humbo,All,0.9902500000000001,0.99025,0.99075,0.99075,0.99
Zme,disart,0.839,0.852,0.837,0.841,0.837
Zme,malleusfix,0.971,0.969,0.97,0.974,0.973
Zme,normal,0.741,0.749,0.761,0.747,0.752
Zme,stapesfix,0.823,0.811,0.803,0.786,0.804
Zme,All,0.8435,0.84525,0.84275,0.837,0.8415000000000001
