Grandeza,Condicao,0,1,2,3,4,5,6,7,8,9
ER,disart,0.04230220296861141,0.035120198742815426,0.038109398869103236,0.0368252377222428,0.03764155368870915,0.03063337727576784,0.03819883168635567,0.040176507957181314,0.033750169389751936,0.03213477757933137
ER,malleusfix,0.17208952336497196,0.20340008055195616,0.2004571241946487,0.17800829252139413,0.19950899023479116,0.1950920822483808,0.16634099218023254,0.2288439096429625,0.17403641709685275,0.22392663018375786
ER,normal,0.03653092684457166,0.04318698167935598,0.03743083698981163,0.04767714930882521,0.043234580539429614,0.03376773215671513,0.04204694757772246,0.03791603829905763,0.041941510633746286,0.033177567395073784
ER,stapesfix,0.14952045967338382,0.13014659668963974,0.14263183563316806,0.16439667866328478,0.12926975461575707,0.12914937776723753,0.15848041767207025,0.1079858293544628,0.164460643958509,0.11947042848281908
ER,All,0.10011077821288472,0.10296346441594184,0.1046572989216829,0.10672683955393672,0.10241371976967173,0.09716064236202533,0.10126679727909522,0.10373057131341606,0.103547185269715,0.10217735091024553
Hfp,malleusfix,0.3167368376282294,0.34886638565163497,0.28457924050989103,0.34626154894650063,0.33387143938250163,0.30202227301805834,0.37470826798189866,0.3260635834077824,0.3258052204314719,0.3397221892183026
Hfp,normal,0.099149316916066,0.09914082419718508,0.10520169867594917,0.09101542173049001,0.1007639192095241,0.10063820848475824,0.11321718123645315,0.08156060576233516,0.11300083550770272,0.09485883129896394
Hfp,stapesfix,0.3254887757741132,0.26215797846643524,0.2697456154230012,0.26973231075901,0.3026257186464819,0.2917307888151163,0.255462149295092,0.2754351082368639,0.2675990366190184,0.27431971372853325
Hfp,All,0.2471249767728029,0.23672172943841846,0.2198421848696138,0.2356697604786669,0.2457536924128359,0.2314637567726443,0.2477958661711479,0.2276864324689938,0.23546836418606434,0.2363002447485999
Humbo,disart,0.12465541205477775,0.1070916810832128,0.11883282846938938,0.12368880165147725,0.10862313184731318,0.12159474789841547,0.10152433661625253,0.10091299082725882,0.13181055023508662,0.11642917056742025
Humbo,malleusfix,0.1986939630690653,0.21377127990902814,0.2007594402092827,0.22181904839774047,0.20662425955975366,0.2265899156679247,0.17981437737827066,0.2173708656815665,0.2254616602265737,0.2155263445217626
Humbo,normal,0.10884220502650173,0.11403429182648105,0.10691624399824673,0.11483954204181368,0.10077660971296372,0.09553092673061304,0.10666992551342053,0.08523685487394837,0.09766891657982228,0.11074051984679957
Humbo,stapesfix,0.1467058275612618,0.1272980712398142,0.15348210239530413,0.1376772648576216,0.14502028688004154,0.12622322892758112,0.1533191399353273,0.11672270108102413,0.13194038521245474,0.12534828903763626
Humbo,All,0.14472435192790165,0.14054883101463406,0.14499765376805573,0.14950616423716326,0.14026107200001806,0.1424847048061336,0.13533194486081773,0.13006085311594945,0.14672037806348434,0.14201108099340465
