epoch,accuracy,loss,val_accuracy,val_loss
0,0.2465,1.6397830928917974,0.255,1.5852636589258908
1,0.25375,1.563469252306968,0.255,1.540532740496099
2,0.256,1.5381065179929136,0.255,1.5429631839394569
3,0.262,1.5249088422954082,0.25475,1.5122423537410796
4,0.28025,1.4926711554899812,0.2565,1.5066553409993648
5,0.265,1.488896249614656,0.2555,1.4975585684999824
6,0.273,1.4918948948718607,0.24225,1.5000451370589436
7,0.2605,1.4815216818079353,0.262,1.4894211967512965
8,0.251,1.473363445289433,0.25825,1.4745815975889565
9,0.26325,1.4613283352181314,0.2565,1.4824742459282279
10,0.2705,1.4596246523968874,0.2555,1.4732465030029416
11,0.265,1.4621976980268956,0.24975,1.4777544432580472
12,0.26875,1.450071998476982,0.25825,1.4665264003947378
13,0.26,1.4499129459485411,0.25875,1.4641545526459814
14,0.2695,1.443853340126574,0.26,1.4550192791372538
15,0.2695,1.4464020333141088,0.2525,1.4591877322271467
16,0.26725,1.4460982419103383,0.265,1.4416600868701934
17,0.273,1.434782113611698,0.28,1.4416392271518708
18,0.265,1.438738661944866,0.27475,1.4376115337982773
19,0.2735,1.432498329088092,0.2705,1.4372870107963682
20,0.26675,1.4329443372413515,0.26475,1.4375375530868768
21,0.27425,1.4246195970103144,0.27025,1.4327942035123706
22,0.288,1.414042195506394,0.27925,1.4295133449360728
23,0.29075,1.4025408570319413,0.277,1.4219193597212434
24,0.29175,1.396298851199448,0.29175,1.4130791388005017
25,0.2975,1.3997302683889865,0.296,1.4030744127258659
26,0.29825,1.3891403481438755,0.27825,1.4242484307065606
27,0.3215,1.3788170982077719,0.302,1.3939236673116684
28,0.3265,1.3725235078856348,0.31425,1.376446945272386
29,0.32475,1.3535151963867247,0.32175,1.3710405902937055
30,0.328,1.3506537842974067,0.32325,1.3621998109817506
31,0.3285,1.3512445634417236,0.3265,1.3551130538508296
32,0.3315,1.328002001300454,0.338,1.3316068839468063
33,0.35925,1.3051595194973051,0.3465,1.3048069802001119
34,0.36,1.2940958431139589,0.35025,1.3002262926138937
35,0.36975,1.2712357425764202,0.355,1.2959247474856674
36,0.394,1.241196641176939,0.371,1.2541138942502439
37,0.39525,1.2375330196358263,0.387,1.2220057841800154
38,0.4035,1.202953120753169,0.40425,1.201129415474832
39,0.4205,1.1734209425393491,0.41025,1.167917547598481
40,0.43725,1.1425245352312923,0.42325,1.1426077367812395
41,0.447,1.1295299971550703,0.42475,1.1340856069363654
42,0.443,1.1130642328821123,0.4475,1.084910729534924
43,0.44075,1.0833525893203915,0.447,1.0733018634952605
44,0.46125,1.0537246331349015,0.459,1.0513235552683473
45,0.4645,1.0406166993305086,0.465,1.0323554280474783
46,0.46975,1.002259942241013,0.45925,1.0027798178195952
47,0.46825,1.0038599530868233,0.46875,0.9951827761493623
48,0.48325,0.982777046944946,0.46575,0.9810124554634094
49,0.4955,0.9629821960777044,0.491,0.9687922040820122
50,0.501,0.9472407093830406,0.4865,0.9631395555194467
51,0.49075,0.9555244617462159,0.495,0.9552203986104578
52,0.51225,0.9305199417639524,0.4905,0.9528598113432527
53,0.51925,0.9269572912957519,0.51475,0.919049787197262
54,0.4925,0.9290107584521174,0.50625,0.9227655485942959
55,0.52525,0.893489619737491,0.533,0.9005867917295546
56,0.5245,0.8981807209830731,0.54325,0.8950883676297963
57,0.538,0.8885784630533308,0.54225,0.8780340450052172
58,0.54225,0.8685381701253354,0.539,0.8800140260439366
59,0.55025,0.8770699579436332,0.55275,0.8655278288796544
60,0.54275,0.870746089907363,0.5675,0.8361862915474921
61,0.569,0.8449675153847784,0.56275,0.843900195308961
62,0.57925,0.830434089878574,0.5825,0.8153117317613214
63,0.5785,0.8240580115430057,0.57825,0.8251733295544982
64,0.58575,0.8125246877307072,0.60675,0.7888281857389957
65,0.609,0.7958517433274538,0.6045,0.7944159436067566
66,0.606,0.7853331864764914,0.599,0.798183422490023
67,0.61725,0.7668885565274395,0.62525,0.7625427076993511
68,0.61825,0.7662496216394938,0.61975,0.7633129489044659
69,0.627,0.7539355090903118,0.63525,0.7389423279396724
70,0.63475,0.7473484696382656,0.634,0.7470493944366463
71,0.6395,0.7401764980952721,0.652,0.7312303943652659
72,0.66325,0.7206444890073035,0.6435,0.7200422531545628
73,0.64525,0.7309666541318874,0.66575,0.7096711255093106
74,0.64,0.725299371359637,0.66975,0.7012906729504466
75,0.6635,0.7064607814711052,0.672,0.701161431055516
76,0.68125,0.6777699656077893,0.66425,0.6954421282348922
77,0.681,0.6946705142580905,0.67525,0.6888963923191186
78,0.6745,0.690486739757238,0.68275,0.6688419649059651
79,0.68375,0.6703191109024338,0.68225,0.6614797224070644
80,0.69375,0.6554645975364838,0.68825,0.6665545759629459
81,0.6845,0.6611909265556606,0.68925,0.6471290537769674
82,0.6925,0.6480873935943237,0.69525,0.6556014666302071
83,0.7055,0.6363386367817293,0.709,0.629640088577813
84,0.711,0.6351001165389316,0.6915,0.6512409452851862
