Grandeza,Condicao,0,1,2,3,4,5,6,7,8,9
ER,disart,0.988,0.986,0.988,0.99,0.985,0.988,0.992,0.989,0.988,0.989
ER,malleusfix,0.991,0.993,0.993,0.989,0.992,0.996,0.993,0.996,0.991,0.993
ER,normal,0.958,0.939,0.951,0.947,0.953,0.962,0.95,0.959,0.943,0.954
ER,stapesfix,0.944,0.953,0.942,0.945,0.958,0.943,0.94,0.948,0.959,0.94
ER,All,0.9702500000000001,0.96775,0.9684999999999999,0.96775,0.972,0.97225,0.9687499999999999,0.973,0.9702500000000001,0.969
Hfp,malleusfix,0.943,0.942,0.942,0.94,0.95,0.94,0.941,0.937,0.94,0.934
Hfp,normal,0.869,0.861,0.874,0.873,0.862,0.869,0.87,0.873,0.868,0.874
Hfp,stapesfix,0.98,0.982,0.98,0.979,0.983,0.981,0.98,0.982,0.981,0.984
Hfp,All,0.9306666666666666,0.9283333333333333,0.9319999999999999,0.9306666666666666,0.9316666666666666,0.93,0.9303333333333333,0.9306666666666666,0.9296666666666665,0.9306666666666666
Humbo,disart,0.918,0.928,0.931,0.934,0.934,0.934,0.927,0.926,0.932,0.922
Humbo,malleusfix,0.957,0.946,0.946,0.952,0.945,0.95,0.946,0.946,0.947,0.95
Humbo,normal,0.77,0.756,0.711,0.737,0.779,0.767,0.767,0.769,0.745,0.75
Humbo,stapesfix,0.75,0.793,0.798,0.785,0.757,0.747,0.774,0.76,0.774,0.769
Humbo,All,0.84875,0.85575,0.8465,0.8520000000000001,0.85375,0.8494999999999999,0.8535,0.85025,0.8495,0.84775
Zme,disart,0.955,0.957,0.949,0.953,0.959,0.955,0.961,0.952,0.952,0.953
Zme,malleusfix,0.985,0.986,0.986,0.982,0.984,0.981,0.98,0.986,0.985,0.983
Zme,normal,0.846,0.826,0.857,0.866,0.867,0.828,0.845,0.869,0.834,0.865
Zme,stapesfix,0.868,0.873,0.863,0.86,0.865,0.906,0.866,0.873,0.898,0.85
Zme,All,0.9135,0.9105000000000001,0.91375,0.91525,0.91875,0.9175,0.9129999999999999,0.9199999999999999,0.91725,0.9127500000000001
