Grandeza,Condicao,0,1,2,3,4,5,6,7,8,9
ER,disart,0.0463278189471094,0.04738747286186079,0.05084549520432907,0.0461274564350021,0.044224623929919576,0.05086017594618261,0.0425832220221817,0.0462951053643912,0.047411086424577774,0.04539144749476956
ER,malleusfix,0.06048172903182569,0.04884224584140413,0.05380339355279282,0.06003584321452477,0.05848116906707696,0.051106322911149915,0.06475838824860435,0.05797590594238595,0.059991206167198226,0.055408391361954586
ER,normal,0.18896168170011618,0.19479704810217105,0.19311313531334218,0.1890379798164903,0.1869119326113206,0.16752808668318003,0.19296833214393233,0.1798833450415509,0.21623425208897698,0.17981905140656856
ER,stapesfix,0.20386486884110588,0.20297888182253498,0.20321074979581813,0.20141082663104168,0.20418023919152736,0.23234910960588132,0.21702550898398926,0.21462647147733388,0.18327400875426172,0.20679884456605452
ER,All,0.12490902463003929,0.12350141215699274,0.12524319346657053,0.12415302652426471,0.12344949119996113,0.12546092378659846,0.1293338628496769,0.12469520695641549,0.12672763835875367,0.1218544337073368
Hfp,malleusfix,0.2081513296113514,0.19199204716552898,0.1986047991620772,0.19940482297139045,0.1838177709295372,0.2076847677727378,0.18732283737709288,0.20650532281801343,0.2009826628923601,0.19166379385351012
Hfp,normal,0.2820807814384462,0.29802548704243276,0.2835764233145496,0.291048909200162,0.3069508699809362,0.2807448985100844,0.28819140676567817,0.267832547702452,0.28597174702625544,0.2940054382062444
Hfp,stapesfix,0.06900720573917049,0.07059497856424421,0.0781957323220534,0.0688894139470144,0.06775945707107354,0.0677058978511541,0.068205307538962,0.06752555504163461,0.07035773999631895,0.06532407368405899
Hfp,All,0.1864131055963227,0.1868708375907353,0.1867923182662267,0.18644771537285562,0.18617603266051563,0.18537852137799207,0.18123985056057768,0.18062114185403336,0.1857707166383115,0.18366443524793785
Humbo,disart,0.22877243298520342,0.20874459953222674,0.2020407721583656,0.2111271940966009,0.2040654831482042,0.21132866061562253,0.2351512876868826,0.2121006554650962,0.20434005816448395,0.22822475776005116
Humbo,malleusfix,0.2413359653078987,0.25394887083079076,0.24492340213291086,0.2693143537088724,0.2674154548295852,0.24617612181032042,0.2573032017059687,0.2590260878158078,0.2633260811405536,0.2548835344890103
Humbo,normal,0.553296082924106,0.5720382662896905,0.6144016468939606,0.5985352814663367,0.55672753192598,0.5546495590373777,0.5661068413545374,0.5515713833161324,0.5959436839623169,0.5752030688249747
Humbo,stapesfix,0.604864137514415,0.5671554530746689,0.5542021368205701,0.5989452182390173,0.6114002980184482,0.6206718767610714,0.6070712837498891,0.6164413435761779,0.595387213300848,0.5894795777494007
Humbo,All,0.4070671546829058,0.40047179743184425,0.4038919895014518,0.41948051187770685,0.40990219198055444,0.408206554556098,0.41640815362431943,0.40978486754330357,0.4147492591420506,0.4119477347058592
Zme,disart,0.14853209015077848,0.13715549049640577,0.15497187140998356,0.13456256747777842,0.13099219437121984,0.13630004726423947,0.1295239237836917,0.14368812298236797,0.14562614705806248,0.13948727935529912
Zme,malleusfix,0.12989154154824992,0.11733885237152279,0.13215879224701035,0.12381810414058893,0.14725382953348598,0.13449620908150065,0.134378641120959,0.13006560730265912,0.12622150975979496,0.12894951826190704
Zme,normal,0.41557661071468127,0.4609749777017512,0.38760635666479193,0.39954356499823207,0.3858316720723694,0.4449036856767966,0.43113479555395257,0.39029851122847653,0.4303330364419525,0.38534787674751625
Zme,stapesfix,0.4235836211611621,0.40046088221826553,0.4383178054724332,0.46503566467521523,0.4434452579836615,0.3901021844537671,0.4289812520330317,0.42686621480205894,0.3878948600389463,0.43729189768955895
Zme,All,0.27939596589371796,0.27898255069698635,0.27826370644855475,0.28073997532295364,0.2768807384901842,0.27645053161907596,0.2810046531229088,0.2727296140788906,0.27251888832468907,0.27276914301357036
