epoch,accuracy,loss,val_accuracy,val_loss
0,0.257,1.6054058207534254,0.26475,1.5625743622072041
1,0.2565,1.5611836875304579,0.2665,1.5293148323707282
2,0.26275,1.5348410243429245,0.25225,1.5324619338810443
3,0.25925,1.5263605923131107,0.26025,1.517861805509776
4,0.26125,1.5088282371386885,0.25625,1.5030908224657178
5,0.271,1.5010603384114802,0.26475,1.4935934310555459
6,0.27,1.4798887869603932,0.27225,1.4769044513776899
7,0.265,1.4713806238994003,0.26575,1.4800564980208875
8,0.257,1.4782279033735395,0.26,1.4767461570240557
9,0.2655,1.4665964128375053,0.2645,1.4780960415676236
10,0.26325,1.460264504775405,0.2725,1.4635025454089046
11,0.26975,1.4602721488326789,0.275,1.4595382274761797
12,0.26975,1.4582393578663468,0.28,1.4440715197771787
13,0.2755,1.4505144145637752,0.27375,1.4557000316940247
14,0.27725,1.4437495154440403,0.283,1.4391845253929496
15,0.2805,1.4411907532736659,0.2695,1.4502818862348794
16,0.274,1.4425663906484842,0.282,1.4416631503552197
17,0.29725,1.4212578833140432,0.28425,1.423864199925214
18,0.31175,1.4111266373470426,0.302,1.4212292837426066
19,0.31475,1.4043624353595079,0.30725,1.4053949596583843
20,0.3025,1.4030218646973371,0.3065,1.410882374279201
21,0.3215,1.397883230689913,0.3065,1.4053503106534482
22,0.32525,1.3944001165032387,0.314,1.4029084515310823
23,0.31825,1.396220362186432,0.31375,1.3916664387844504
24,0.3275,1.3868203210830687,0.33825,1.374726296339184
25,0.34075,1.3754014014303684,0.32575,1.3815356268659233
26,0.335,1.3707729557454587,0.343,1.3668592686988412
27,0.344,1.3556346501894294,0.35775,1.346125926312059
28,0.3565,1.3383930933736266,0.35775,1.3451715341527015
29,0.35325,1.3520502404496073,0.37525,1.3171666517220437
30,0.36375,1.3293673384878784,0.37475,1.3243633744716645
31,0.381,1.3104970920626073,0.38175,1.3055235155038536
32,0.4,1.2873853896651417,0.39075,1.2960200284533203
33,0.41025,1.2769710558708758,0.39975,1.2799721990218387
34,0.41425,1.2578812223691493,0.4125,1.2603120133802295
35,0.4355,1.2350791002707555,0.43325,1.2288498048717156
36,0.448,1.2089131365092471,0.4375,1.2102221328997984
37,0.4585,1.1977392088398338,0.4555,1.1919544785572216
38,0.463,1.1763180399099364,0.4545,1.185511516480241
39,0.48275,1.14326753098052,0.46575,1.156710079608485
40,0.48925,1.1367196902865544,0.4895,1.1248145371708087
41,0.49725,1.112728155366378,0.491,1.1151932615437545
42,0.52175,1.0801127091781235,0.503,1.0962748560274485
43,0.52975,1.0455018612705171,0.53375,1.0587816763494629
44,0.5315,1.0426411387502448,0.5245,1.0498694537756965
45,0.545,1.0085333771861624,0.552,1.0067403643545694
46,0.561,0.9956014668969437,0.555,0.9665393320762087
47,0.5655,0.9552158818533644,0.57725,0.9468443702904041
48,0.5885,0.9368153296622331,0.58325,0.9292594777592458
49,0.59575,0.9076338894412038,0.58825,0.902777237696806
50,0.59825,0.9082547406652594,0.6005,0.8892485314194346
51,0.61875,0.8476235947642708,0.6145,0.849379230935534
52,0.6245,0.843230513877701,0.622,0.8353607618772949
53,0.62575,0.8229827388509293,0.63425,0.8098222853285552
54,0.6445,0.7972848205889459,0.65475,0.776451701133672
55,0.6615,0.760851192141301,0.6505,0.7766872301027761
56,0.658,0.7607765174816523,0.66175,0.7535382295199088
57,0.67025,0.739102117506016,0.6685,0.7309002226390585
58,0.672,0.7287626478303573,0.6785,0.7189121215232736
59,0.68625,0.6995640973358968,0.68775,0.6984968491759864
60,0.694,0.6755860005909708,0.676,0.6954132365892292
61,0.6875,0.6783772359209616,0.7,0.656601905199328
62,0.7015,0.6602643768801354,0.70425,0.6591924810127165
63,0.7075,0.6569085537710853,0.6895,0.6635398555272913
64,0.71325,0.6372296948526782,0.70875,0.6284199258125008
65,0.71975,0.6310396081253421,0.71175,0.6281700429842895
66,0.7345,0.5935186611828249,0.725,0.6212878014855633
67,0.72425,0.5927934175854971,0.72025,0.6108026655558751
68,0.73925,0.5836930239730209,0.73375,0.5884278951482156
69,0.739,0.5857102607837115,0.732,0.5841869689313717
70,0.732,0.5900847279822865,0.73275,0.5832300089602067
71,0.7485,0.5612395712471735,0.73575,0.5660732424068483
72,0.7505,0.5577316626237007,0.74625,0.5592026524944668
73,0.7565,0.5514551965721803,0.74675,0.5537886160857015
74,0.7585,0.5403854834783033,0.7605,0.5310733430014188
75,0.75575,0.5413434328962103,0.75725,0.5435240889237685
76,0.758,0.5308232368468653,0.7705,0.5187590605836776
77,0.7665,0.5153084792618647,0.7635,0.5130085124055277
78,0.77175,0.509416964408203,0.76775,0.5227836417871368
79,0.7745,0.5145353110328706,0.76875,0.5108665271248684
80,0.78025,0.4930839381301157,0.77675,0.5017810373951943
81,0.77325,0.5108271384576037,0.777,0.4917109049585997
82,0.77325,0.5031117784915732,0.77625,0.4879772697876906
83,0.779,0.49238850397001077,0.78625,0.4938624155446887
84,0.777,0.4878981720339252,0.787,0.4768410188368725
85,0.78275,0.4901181330178524,0.78575,0.4872515548645424
86,0.7955,0.47568012263435505,0.79525,0.4764223647123181
87,0.7905,0.4650723627496518,0.78375,0.47650357390438147
88,0.79925,0.44442194390084294,0.7985,0.4610270218863898
89,0.7985,0.4608926552902867,0.8105,0.45083751515794573
90,0.806,0.4422054811712633,0.805,0.4464106459443974
91,0.799,0.4579928444166417,0.79925,0.4502202847646531
92,0.81225,0.42749987504571435,0.8095,0.44364154319978616
93,0.804,0.44829401659123685,0.81325,0.43603309613842156
94,0.80625,0.44179785518509196,0.8205,0.4158621098786662
95,0.813,0.4304163774840126,0.82025,0.4274906241850267
96,0.814,0.4259408920578671,0.809,0.4248484840541532
97,0.82475,0.41556128544528836,0.831,0.4149208750409989
98,0.82175,0.4119074401981097,0.82475,0.4129811538348859
99,0.835,0.3980452598705797,0.82725,0.4174361294413984
100,0.82,0.4175016178118076,0.821,0.40713657640096607
101,0.8225,0.3968770818506091,0.8295,0.39229835716007894
102,0.82925,0.39883407854099184,0.8275,0.3995653950283549
103,0.8285,0.39933983353937036,0.82925,0.3964564512627221
104,0.832,0.39335561414077164,0.83475,0.39279771155273013
105,0.8395,0.37861901197073394,0.8405,0.37283089577718964
106,0.8425,0.38603136627488127,0.83775,0.3804366497980436
107,0.84675,0.3802028711698013,0.8445,0.3690019370613768
108,0.8355,0.3833244354907038,0.834,0.3868273712106811
