Grandeza,Condicao,0,1,2,3,4
ER,disart,0.022817616206443694,0.02435345975754708,0.023195814350533302,0.027264114428164694,0.024239204209686272
ER,malleusfix,0.046193499099755175,0.04356372253827766,0.05103456326794918,0.06006873277782166,0.05456350978096073
ER,normal,0.0266740804638096,0.021432390345426523,0.023181347535151744,0.02258482192947426,0.03321229235442965
ER,stapesfix,0.03510882684952808,0.041962341023664536,0.03493830075326333,0.030725704043794082,0.03739009684058523
ER,All,0.032698505654884136,0.03282797841622895,0.03308750647672439,0.03516084329481367,0.03735127579641547
Hfp,malleusfix,0.08741127686825047,0.07801224739942564,0.09620811208873575,0.10190660738187418,0.07613870172964314
Hfp,normal,0.031162100996470946,0.02549229616738264,0.02585615868800051,0.024491388297871154,0.023228049051888206
Hfp,stapesfix,0.09766249155054499,0.10190081937778513,0.08066230579244912,0.09293856150286021,0.09265907856036629
Hfp,All,0.07207862313842213,0.06846845431486447,0.0675755255230618,0.07311218572753518,0.06400860978063254
Humbo,disart,0.06480554212308266,0.07153922566837448,0.07559778787335682,0.07735331021921281,0.08182182489806519
Humbo,malleusfix,0.04867374237692158,0.05708046744559894,0.05079117610601412,0.05964248249588182,0.05072599814432735
Humbo,normal,0.05688578950368857,0.06516300075911925,0.06617309065601226,0.06441144427213788,0.07073776927259186
Humbo,stapesfix,0.06612889890717302,0.07564293066323384,0.08343010519229584,0.07981757811002506,0.08286859035883709
Humbo,All,0.05912349322771646,0.06735640613408163,0.06899803995691976,0.07030620377431439,0.07153854566845537
Zme,disart,0.21734226105829066,0.22173268376130112,0.23645494624596836,0.2113640402186135,0.23991423051160166
Zme,malleusfix,0.10554338207801851,0.11598904537976681,0.10521969629258192,0.10483411114545665,0.10961765013871665
Zme,normal,0.21931165041712478,0.20140178568125539,0.19811027529926364,0.20834298464919335,0.19277998505074698
Zme,stapesfix,0.1125567812229234,0.11999660999915948,0.11668837583809505,0.11257356113514168,0.10835555558256466
Zme,All,0.16368851869408935,0.1647800312053707,0.16411832341897725,0.1592786742871013,0.16266685532090747
