Grandeza,Condicao,0,1,2,3,4
ER,disart,0.993,0.992,0.99,0.992,0.992
ER,malleusfix,0.995,0.995,0.993,0.993,0.994
ER,normal,0.997,0.998,0.999,0.997,0.999
ER,stapesfix,0.992,0.992,0.992,0.993,0.994
ER,All,0.99425,0.9942500000000001,0.9935,0.9937499999999999,0.99475
Hfp,malleusfix,0.965,0.959,0.966,0.965,0.965
Hfp,normal,0.991,0.991,0.991,0.992,0.992
Hfp,stapesfix,0.956,0.956,0.962,0.95,0.954
Hfp,All,0.9706666666666667,0.9686666666666666,0.9729999999999999,0.969,0.9703333333333332
Humbo,disart,0.993,0.994,0.991,0.989,0.99
Humbo,malleusfix,0.983,0.984,0.984,0.981,0.983
Humbo,normal,0.991,0.992,0.993,0.994,0.994
Humbo,stapesfix,0.978,0.98,0.974,0.978,0.983
Humbo,All,0.9862500000000001,0.9874999999999999,0.9855,0.9855,0.9874999999999999
Zme,disart,0.872,0.875,0.881,0.878,0.881
Zme,malleusfix,0.934,0.936,0.934,0.922,0.934
Zme,normal,0.94,0.946,0.944,0.946,0.945
Zme,stapesfix,0.976,0.978,0.979,0.98,0.977
Zme,All,0.9305,0.9337499999999999,0.9345,0.9315,0.9342499999999999
