epoch,accuracy,loss,val_accuracy,val_loss
0,0.25275,1.5593926130570472,0.26625,1.5057860898822546
1,0.27075,1.5104472812488674,0.25775,1.4766508590951561
2,0.26125,1.4737565495297313,0.26525,1.4637133032232523
3,0.27225,1.4636403163187206,0.263,1.4632891456782817
4,0.28025,1.4382305179089308,0.27125,1.4360379908159375
5,0.28275,1.4338461292237044,0.2775,1.4346220630258322
6,0.2785,1.4290427344813943,0.2755,1.4203007206469773
7,0.28475,1.4167462687529624,0.29,1.4167808095216752
8,0.29325,1.4095128725096584,0.27725,1.417472524896264
9,0.291,1.3982381859198212,0.2915,1.4101834307536483
10,0.29775,1.406297272115946,0.293,1.4099933060780168
11,0.29625,1.3969338968247176,0.2945,1.4107610527426004
12,0.31275,1.387680014129728,0.3015,1.3911510716974735
13,0.31325,1.3807277872264385,0.2955,1.3950438516661525
14,0.322,1.3715989612713455,0.31175,1.3781295488737524
15,0.31225,1.367000679284334,0.3255,1.368161290332675
16,0.3335,1.3560060065537691,0.3115,1.3736052905544638
17,0.34225,1.35010828884691,0.3205,1.3653044841587543
18,0.35175,1.3340586661435663,0.3445,1.3497176463380456
19,0.34725,1.3342018971256913,0.345,1.3521492218263447
20,0.36175,1.3220884089395404,0.34575,1.3526849577100948
21,0.36025,1.3203899432122708,0.34875,1.3229621017742903
22,0.373,1.308106925714761,0.36525,1.3243503847122193
23,0.381,1.2946920558698476,0.37325,1.3030736700324341
24,0.4015,1.2763278539609164,0.381,1.3038483366426081
25,0.4015,1.2547326426077634,0.3835,1.2814304737178608
26,0.41525,1.2477363898195326,0.40325,1.2811534320795908
27,0.42525,1.2408431110521778,0.40825,1.2490630923509598
28,0.44575,1.2069295146698131,0.40875,1.2501181725403294
29,0.44325,1.198296691085212,0.42925,1.2318581374655477
30,0.4335,1.1920174660766498,0.438,1.208744436519919
31,0.45225,1.1822248260010966,0.4445,1.1937353713191114
32,0.47625,1.153794832432177,0.4635,1.1615704917956609
33,0.48475,1.1352197788651102,0.4645,1.1548213906288147
34,0.49525,1.1243807879141532,0.4785,1.1411613332170527
35,0.49125,1.1079087776378729,0.477,1.1311883408827708
36,0.512,1.0960248288754373,0.4865,1.1231167516775895
37,0.51475,1.084035928246798,0.498,1.101473465099465
38,0.5215,1.0605469190808945,0.507,1.0887653989271493
39,0.53775,1.0388378392208832,0.519,1.0715514466729947
40,0.53125,1.0422762592382495,0.50975,1.0678145706272917
41,0.526,1.02271289701981,0.534,1.0291643953236054
42,0.5535,1.003227095732116,0.53625,1.032360655209399
43,0.54075,1.0075845083693276,0.53575,1.016232820378209
44,0.55625,0.9877318280088948,0.54575,1.00854164564854
45,0.5685,0.9615790754743503,0.56025,0.986844822777668
46,0.5605,0.9771937462817295,0.5585,0.9975021583829075
47,0.5725,0.9581247097263694,0.564,0.9699707399446633
48,0.585,0.9310361293563619,0.578,0.9561984935120563
49,0.5955,0.9188924182697665,0.5725,0.9454070128079038
50,0.59225,0.916885527520033,0.57325,0.9445931313078764
51,0.59525,0.9120282115502342,0.575,0.9498258481455268
52,0.6025,0.8925186698605249,0.58625,0.9141502910464769
53,0.6125,0.8878737516473048,0.5995,0.9138272658065253
54,0.60725,0.8912094835040043,0.5995,0.8966480272318004
55,0.60575,0.8694631155040116,0.606,0.8911937903080251
56,0.6155,0.8765834563465614,0.6035,0.8858114471003063
57,0.60575,0.8665951318695079,0.61125,0.8704311677143997
58,0.63,0.8349663785815065,0.61175,0.866495498889155
59,0.6295,0.8336981058185338,0.61875,0.8534901176078129
60,0.626,0.8334247136126359,0.619,0.8536630667726568
61,0.628,0.8312015514849918,0.6225,0.8292925385184062
62,0.637,0.8154050638515037,0.628,0.8303857947047582
63,0.63525,0.8253094444496237,0.619,0.8392447502593569
64,0.65525,0.7881822666620428,0.62425,0.8402044723009967
65,0.64975,0.8005391328343904,0.63275,0.8208058403603335
66,0.6495,0.7939776866689062,0.635,0.8129354772624865
67,0.64275,0.8020921873617044,0.636,0.8145348387323138
68,0.64125,0.7977938322551199,0.64475,0.8117645342513097
69,0.65725,0.7831087254826671,0.649,0.7848830889583005
70,0.66175,0.7733115225229703,0.64375,0.7948851584433223
71,0.6715,0.7539915148558138,0.6595,0.780387224969163
72,0.65825,0.7544172342859874,0.65225,0.782175415437444
73,0.6635,0.7747742502700093,0.6565,0.770973623382095
74,0.6595,0.7641747111071527,0.66575,0.7619896187274408
75,0.6765,0.749457394487712,0.66275,0.7688505990637805
76,0.66575,0.7541335743786812,0.65825,0.7595533736486022
77,0.6645,0.7478496804414899,0.65625,0.7587265225004921
78,0.66175,0.7510119536624843,0.66625,0.7518672908520712
79,0.67775,0.7461805583867245,0.66625,0.7472272397676306
80,0.66975,0.7462662673104132,0.6735,0.7554162127742365
81,0.674,0.7428247942116941,0.66375,0.7405719128743294
82,0.6825,0.7184528350266737,0.6665,0.7525945137990675
83,0.68075,0.7226329352911453,0.678,0.736169512996652
84,0.6795,0.7179801458231323,0.672,0.7412979492021986
85,0.68225,0.7197583626709693,0.66975,0.7365368976016543
86,0.678,0.7260196012072729,0.68175,0.7303508294309113
87,0.6815,0.7270657542810304,0.68475,0.7245255422031104
88,0.68125,0.7171152209028223,0.68425,0.7166279126094496
89,0.6985,0.6915619014412805,0.6725,0.7318097885032757
90,0.6855,0.7135267811494886,0.68675,0.7271645956375187
91,0.6925,0.6972488775457241,0.6835,0.7107967943576113
92,0.68475,0.7076258256173096,0.695,0.7048865778085246
93,0.6965,0.6820388668708675,0.69025,0.7040950025888778
94,0.69325,0.70132652652454,0.6975,0.7128753669320776
95,0.68975,0.6934158815646424,0.698,0.6988489133800695
96,0.707,0.6780866022346891,0.68875,0.7065145461143393
97,0.70225,0.6832603122358928,0.69575,0.6982769957927194
98,0.69175,0.702092663899206,0.6995,0.6917520776194358
99,0.704,0.687420379330008,0.6995,0.6999624733603509
100,0.698,0.6849211984647127,0.701,0.6851340741855222
101,0.70075,0.6787069345141991,0.7005,0.6877503356468901
102,0.71375,0.6645827159663295,0.70225,0.6813961575830917
103,0.701,0.677024781045996,0.71,0.6855556899932944
104,0.714,0.6643248370224151,0.70175,0.691526944224851
105,0.70525,0.6766764732719799,0.7075,0.6759763562453236
106,0.715,0.6541189415276327,0.703,0.6853121878182428
107,0.7115,0.6602005803928424,0.6955,0.6846433752411198
108,0.7065,0.665644638368866,0.70725,0.6716531280282725
109,0.7145,0.655452884265891,0.7155,0.6641152081618997
110,0.71325,0.657291485645741,0.702,0.6849474958011805
111,0.71975,0.6433456856157982,0.70675,0.6636362284951791
112,0.71375,0.6544658305818969,0.699,0.6766908432581313
113,0.73075,0.6347570852289939,0.71125,0.6550128610126944
114,0.71275,0.6448048776914852,0.711,0.6575071119753836
115,0.71275,0.6534492882861604,0.71225,0.6567211609201088
116,0.719,0.6419218360219511,0.716,0.6576910577572853
117,0.72425,0.6358777349670067,0.715,0.6499565845416969
118,0.7155,0.6562872321452596,0.717,0.6560442533283026
119,0.72125,0.6324560324326444,0.7185,0.6512372166304526
120,0.72225,0.6581958667761951,0.721,0.6473847565569723
121,0.725,0.6337396045546065,0.73125,0.6314104461725915
122,0.7315,0.6226357255982875,0.72225,0.6446867530705892
123,0.734,0.6279517558872685,0.727,0.6478193845703017
124,0.73,0.6222164938323113,0.72,0.6519301480473915
125,0.72875,0.6250998220168094,0.7245,0.6298642571900346
126,0.72275,0.6384930937035017,0.72675,0.6287602517050054
127,0.74225,0.6169372602551102,0.7365,0.6216666280984341
128,0.727,0.6117788675638048,0.726,0.6261486822943352
129,0.7265,0.6246192753661726,0.72775,0.6534626081473097
130,0.7245,0.6290089844317835,0.7275,0.6301308866054951
131,0.74,0.6008686441913608,0.71975,0.634549088737237
132,0.7195,0.6210482092705469,0.714,0.6402336371678139
133,0.73675,0.6180484339566992,0.73225,0.6225874898862999
134,0.7295,0.6096211571768888,0.72475,0.6331567982031192
135,0.7395,0.5950999487556039,0.72075,0.6424098563282942
136,0.73475,0.6126015620095778,0.7265,0.6304221584073341
137,0.739,0.6146340921273481,0.73225,0.6280317363202285
138,0.73375,0.6072796121943848,0.728,0.6190713305907202
139,0.738,0.6003576979394792,0.7305,0.6270765834602198
140,0.74475,0.598580847767979,0.73825,0.6128042119488477
141,0.73675,0.5998848758797986,0.73875,0.6071673068784035
142,0.7385,0.596637668631899,0.73025,0.6255343197339944
143,0.739,0.5925092178891762,0.7345,0.6114939526082881
144,0.73725,0.6026067222676548,0.738,0.6172185109056118
145,0.743,0.5872685990463414,0.724,0.61285384976864
146,0.73275,0.6096262065827477,0.73475,0.6140948417654601
147,0.73875,0.5927689341675156,0.7395,0.6129496041001757
148,0.745,0.5918421604911268,0.73075,0.6223906371187841
149,0.7445,0.5813343188193153,0.72775,0.6164280156810032
150,0.74725,0.5821714891212796,0.73575,0.618955147177327
151,0.74125,0.5962419316641694,0.7445,0.5954993333619715
152,0.7485,0.5773199891761582,0.73275,0.6096885890202555
153,0.7405,0.591501743240838,0.7415,0.6083031531572834
154,0.748,0.5827662402691517,0.73675,0.6125906404750802
155,0.738,0.5956723298012976,0.74525,0.6002501843751238
156,0.743,0.5782128301435592,0.743,0.6002889424739292
157,0.75525,0.5763198170233454,0.7355,0.6019202806968378
158,0.75075,0.5771114273187613,0.7435,0.598418427432287
159,0.7405,0.5954541989773233,0.746,0.5964738660000934
160,0.7535,0.5642731741017728,0.7305,0.6228093111437666
161,0.7425,0.5856848948007546,0.74625,0.599819881867009
162,0.74575,0.578569814943804,0.732,0.6101502446268442
163,0.7495,0.5804182084055897,0.73575,0.609469951097622
164,0.75,0.5706860021710672,0.7565,0.5879906207185027
165,0.756,0.5591579113292983,0.734,0.6016865607194896
166,0.76175,0.5503988602374327,0.74475,0.6006445088486757
167,0.748,0.5745191099930539,0.7535,0.5729796650508915
168,0.75225,0.5668923621924562,0.73675,0.5963445612697338
169,0.759,0.5568390670012527,0.74525,0.5969027428167196
170,0.76375,0.5509278299360226,0.74525,0.5819485117408544
171,0.75775,0.56447307843673,0.7485,0.5775929496602384
172,0.753,0.5575053894995271,0.7505,0.5799747665793895
173,0.76375,0.5492032802480703,0.7495,0.5919490299442275
174,0.753,0.5654708193248882,0.752,0.5832016550930726
175,0.751,0.5592188197936762,0.73825,0.5847168396943687
176,0.7655,0.5438403733311393,0.7475,0.5770521292104863
177,0.76625,0.5418086735797977,0.7555,0.5783944321116339
178,0.755,0.5635348181147839,0.74275,0.5805660628296971
179,0.77025,0.5355488180644804,0.751,0.5762271711669552
180,0.752,0.5571318276975021,0.75525,0.5765564450047633
181,0.75825,0.5645181770301012,0.73925,0.5939897300065433
182,0.76275,0.5565667764983414,0.74475,0.5878118717256211
183,0.7655,0.5498384087204822,0.7535,0.5838952865206002
184,0.77025,0.542956027605207,0.7515,0.5705939597892998
185,0.7725,0.5446939482380635,0.75,0.5833943850316786
186,0.75975,0.5548595542968011,0.7565,0.5712093297136636
187,0.756,0.5476040954839809,0.74275,0.5804126732046866
188,0.766,0.5499135035094509,0.75025,0.5858715630545239
189,0.75825,0.5662838763340035,0.7445,0.5770120586715297
190,0.7695,0.5452919066108538,0.75875,0.5695286733948081
191,0.77075,0.5426758803513019,0.75225,0.5826158099756245
192,0.77275,0.5248946947467512,0.74475,0.5806050035337866
193,0.76775,0.5403816359614234,0.757,0.5685628881875953
194,0.7715,0.5250459112212158,0.7615,0.5663951097708151
195,0.77675,0.5220183332343127,0.74925,0.5744460257256783
196,0.76725,0.5478747935928816,0.75425,0.588511978800996
197,0.7675,0.5439835901275988,0.76175,0.55621020896285
198,0.7715,0.53057741913163,0.754,0.5516196092156063
199,0.77325,0.5280651748542666,0.76825,0.5631840073477559
200,0.77625,0.5181290669511316,0.75625,0.5633293139001915
201,0.7685,0.52932589714551,0.75725,0.5645293602932033
202,0.77475,0.5346751684438825,0.75525,0.5585538483323651
203,0.77475,0.5200408038223573,0.773,0.552328984519406
204,0.76825,0.5263111827566845,0.76425,0.5639484237870477
205,0.772,0.5381020498830407,0.7645,0.5542939848759667
206,0.7715,0.5267745663829017,0.767,0.5628075040793873
207,0.772,0.533115535668288,0.75275,0.5788697640792573
208,0.77225,0.5298230217101311,0.76075,0.5696372128512125
209,0.77,0.5271606894540682,0.761,0.5710759121204435
210,0.78075,0.5193154179547232,0.7645,0.564092171055738
211,0.775,0.5295395151078335,0.76375,0.5608449274647408
